2026-05-10 23:58:43,124 [INFO] === UmaEdge Model Training ===
2026-05-10 23:58:43,124 [INFO] 🚫 ODDS-FREE MODE — excluding all odds-derived features
2026-05-10 23:58:43,124 [INFO] No cache found. Building features from scratch...
2026-05-10 23:58:43,124 [INFO] Loading race data...
2026-05-10 23:59:46,334 [INFO] Loaded 196764 entries across 14300 races
2026-05-10 23:59:46,353 [INFO] Loading full history for rolling features...
2026-05-11 00:00:22,786 [INFO] Pre-indexing history for fast lookups...
2026-05-11 00:00:23,480 [INFO] Indexed: 36660 horses, 822 jockeys, 777 trainers, 10 courses
2026-05-11 00:00:23,480 [INFO] Building features for 196764 entries...
2026-05-11 00:01:09,647 [INFO] Pre-building point-in-time speed baseline index...
2026-05-11 00:01:10,008 [INFO] Speed baseline index built: 320 (course, dist, going) combos
2026-05-11 01:09:27,936 [INFO]   [88,000/196,764] 45% | 21 entries/s | ETA 5122s
2026-05-11 01:10:17,455 [INFO]   [89,000/196,764] 45% | 21 entries/s | ETA 5078s
2026-05-11 01:11:05,845 [INFO]   [90,000/196,764] 46% | 21 entries/s | ETA 5033s
2026-05-11 01:11:55,077 [INFO]   [91,000/196,764] 46% | 21 entries/s | ETA 4988s
2026-05-11 01:12:43,499 [INFO]   [92,000/196,764] 47% | 21 entries/s | ETA 4942s
2026-05-11 01:13:32,223 [INFO]   [93,000/196,764] 47% | 21 entries/s | ETA 4897s
2026-05-11 01:14:21,824 [INFO]   [94,000/196,764] 48% | 21 entries/s | ETA 4852s
2026-05-11 01:15:10,710 [INFO]   [95,000/196,764] 48% | 21 entries/s | ETA 4807s
2026-05-11 01:16:00,043 [INFO]   [96,000/196,764] 49% | 21 entries/s | ETA 4762s
2026-05-11 01:16:49,018 [INFO]   [97,000/196,764] 49% | 21 entries/s | ETA 4716s
2026-05-11 01:17:39,417 [INFO]   [98,000/196,764] 50% | 21 entries/s | ETA 4672s
2026-05-11 01:18:29,654 [INFO]   [99,000/196,764] 50% | 21 entries/s | ETA 4628s
2026-05-11 01:19:20,011 [INFO]   [100,000/196,764] 51% | 21 entries/s | ETA 4583s
2026-05-11 01:20:10,586 [INFO]   [101,000/196,764] 51% | 21 entries/s | ETA 4539s
2026-05-11 01:21:00,829 [INFO]   [102,000/196,764] 52% | 21 entries/s | ETA 4494s
2026-05-11 01:21:50,983 [INFO]   [103,000/196,764] 52% | 21 entries/s | ETA 4449s
2026-05-11 01:22:41,904 [INFO]   [104,000/196,764] 53% | 21 entries/s | ETA 4405s
2026-05-11 01:23:31,936 [INFO]   [105,000/196,764] 53% | 21 entries/s | ETA 4360s
2026-05-11 01:24:21,410 [INFO]   [106,000/196,764] 54% | 21 entries/s | ETA 4314s
2026-05-11 01:25:11,599 [INFO]   [107,000/196,764] 54% | 21 entries/s | ETA 4269s
2026-05-11 01:26:01,218 [INFO]   [108,000/196,764] 55% | 21 entries/s | ETA 4223s
2026-05-11 01:26:51,309 [INFO]   [109,000/196,764] 55% | 21 entries/s | ETA 4177s
2026-05-11 01:27:41,705 [INFO]   [110,000/196,764] 56% | 21 entries/s | ETA 4132s
2026-05-11 01:28:32,227 [INFO]   [111,000/196,764] 56% | 21 entries/s | ETA 4086s
2026-05-11 01:29:22,108 [INFO]   [112,000/196,764] 57% | 21 entries/s | ETA 4040s
2026-05-11 01:30:11,007 [INFO]   [113,000/196,764] 57% | 21 entries/s | ETA 3994s
2026-05-11 01:31:01,505 [INFO]   [114,000/196,764] 58% | 21 entries/s | ETA 3948s
2026-05-11 01:31:50,034 [INFO]   [115,000/196,764] 58% | 21 entries/s | ETA 3901s
2026-05-11 01:32:38,642 [INFO]   [116,000/196,764] 59% | 21 entries/s | ETA 3854s
2026-05-11 01:33:28,222 [INFO]   [117,000/196,764] 59% | 21 entries/s | ETA 3807s
2026-05-11 01:34:17,061 [INFO]   [118,000/196,764] 60% | 21 entries/s | ETA 3760s
2026-05-11 01:35:06,076 [INFO]   [119,000/196,764] 60% | 21 entries/s | ETA 3713s
2026-05-11 01:35:55,850 [INFO]   [120,000/196,764] 61% | 21 entries/s | ETA 3667s
2026-05-11 01:36:46,877 [INFO]   [121,000/196,764] 61% | 21 entries/s | ETA 3621s
2026-05-11 01:37:36,249 [INFO]   [122,000/196,764] 62% | 21 entries/s | ETA 3574s
2026-05-11 01:38:25,293 [INFO]   [123,000/196,764] 63% | 21 entries/s | ETA 3527s
2026-05-11 01:39:15,956 [INFO]   [124,000/196,764] 63% | 21 entries/s | ETA 3481s
2026-05-11 01:40:05,652 [INFO]   [125,000/196,764] 64% | 21 entries/s | ETA 3434s
2026-05-11 01:40:55,792 [INFO]   [126,000/196,764] 64% | 21 entries/s | ETA 3388s
2026-05-11 01:41:45,506 [INFO]   [127,000/196,764] 65% | 21 entries/s | ETA 3341s
2026-05-11 01:42:34,563 [INFO]   [128,000/196,764] 65% | 21 entries/s | ETA 3294s
2026-05-11 01:43:23,756 [INFO]   [129,000/196,764] 66% | 21 entries/s | ETA 3247s
2026-05-11 01:44:12,148 [INFO]   [130,000/196,764] 66% | 21 entries/s | ETA 3199s
2026-05-11 01:45:01,710 [INFO]   [131,000/196,764] 67% | 21 entries/s | ETA 3152s
2026-05-11 01:45:50,467 [INFO]   [132,000/196,764] 67% | 21 entries/s | ETA 3104s
2026-05-11 01:46:39,869 [INFO]   [133,000/196,764] 68% | 21 entries/s | ETA 3057s
2026-05-11 01:47:28,738 [INFO]   [134,000/196,764] 68% | 21 entries/s | ETA 3010s
2026-05-11 01:48:16,932 [INFO]   [135,000/196,764] 69% | 21 entries/s | ETA 2962s
2026-05-11 01:49:05,007 [INFO]   [136,000/196,764] 69% | 21 entries/s | ETA 2914s
2026-05-11 01:49:53,733 [INFO]   [137,000/196,764] 70% | 21 entries/s | ETA 2866s
2026-05-11 01:50:42,932 [INFO]   [138,000/196,764] 70% | 21 entries/s | ETA 2819s
2026-05-11 01:51:31,504 [INFO]   [139,000/196,764] 71% | 21 entries/s | ETA 2771s
2026-05-11 01:52:20,049 [INFO]   [140,000/196,764] 71% | 21 entries/s | ETA 2723s
2026-05-11 01:53:09,446 [INFO]   [141,000/196,764] 72% | 21 entries/s | ETA 2676s
2026-05-11 01:53:57,897 [INFO]   [142,000/196,764] 72% | 21 entries/s | ETA 2628s
2026-05-11 01:54:45,733 [INFO]   [143,000/196,764] 73% | 21 entries/s | ETA 2580s
2026-05-11 01:55:33,965 [INFO]   [144,000/196,764] 73% | 21 entries/s | ETA 2532s
2026-05-11 01:56:22,898 [INFO]   [145,000/196,764] 74% | 21 entries/s | ETA 2484s
2026-05-11 01:57:10,849 [INFO]   [146,000/196,764] 74% | 21 entries/s | ETA 2436s
2026-05-11 01:57:59,618 [INFO]   [147,000/196,764] 75% | 21 entries/s | ETA 2389s
2026-05-11 01:58:50,447 [INFO]   [148,000/196,764] 75% | 21 entries/s | ETA 2342s
2026-05-11 01:59:41,117 [INFO]   [149,000/196,764] 76% | 21 entries/s | ETA 2294s
2026-05-11 02:00:30,440 [INFO]   [150,000/196,764] 76% | 21 entries/s | ETA 2247s
2026-05-11 02:01:19,560 [INFO]   [151,000/196,764] 77% | 21 entries/s | ETA 2199s
2026-05-11 02:02:09,518 [INFO]   [152,000/196,764] 77% | 21 entries/s | ETA 2152s
2026-05-11 02:02:58,835 [INFO]   [153,000/196,764] 78% | 21 entries/s | ETA 2104s
2026-05-11 02:03:47,451 [INFO]   [154,000/196,764] 78% | 21 entries/s | ETA 2056s
2026-05-11 02:04:36,137 [INFO]   [155,000/196,764] 79% | 21 entries/s | ETA 2008s
2026-05-11 02:05:25,778 [INFO]   [156,000/196,764] 79% | 21 entries/s | ETA 1960s
2026-05-11 02:06:15,771 [INFO]   [157,000/196,764] 80% | 21 entries/s | ETA 1913s
2026-05-11 02:07:04,732 [INFO]   [158,000/196,764] 80% | 21 entries/s | ETA 1865s
2026-05-11 02:07:53,663 [INFO]   [159,000/196,764] 81% | 21 entries/s | ETA 1817s
2026-05-11 02:08:43,206 [INFO]   [160,000/196,764] 81% | 21 entries/s | ETA 1769s
2026-05-11 02:09:32,999 [INFO]   [161,000/196,764] 82% | 21 entries/s | ETA 1721s
2026-05-11 02:10:23,273 [INFO]   [162,000/196,764] 82% | 21 entries/s | ETA 1674s
2026-05-11 02:11:12,288 [INFO]   [163,000/196,764] 83% | 21 entries/s | ETA 1626s
2026-05-11 02:12:02,324 [INFO]   [164,000/196,764] 83% | 21 entries/s | ETA 1578s
2026-05-11 02:12:52,140 [INFO]   [165,000/196,764] 84% | 21 entries/s | ETA 1530s
2026-05-11 02:13:42,030 [INFO]   [166,000/196,764] 84% | 21 entries/s | ETA 1482s
2026-05-11 02:14:32,613 [INFO]   [167,000/196,764] 85% | 21 entries/s | ETA 1435s
2026-05-11 02:15:23,044 [INFO]   [168,000/196,764] 85% | 21 entries/s | ETA 1387s
2026-05-11 02:16:13,840 [INFO]   [169,000/196,764] 86% | 21 entries/s | ETA 1339s
2026-05-11 02:17:04,210 [INFO]   [170,000/196,764] 86% | 21 entries/s | ETA 1291s
2026-05-11 02:17:54,860 [INFO]   [171,000/196,764] 87% | 21 entries/s | ETA 1243s
2026-05-11 02:18:45,445 [INFO]   [172,000/196,764] 87% | 21 entries/s | ETA 1195s
2026-05-11 02:19:35,225 [INFO]   [173,000/196,764] 88% | 21 entries/s | ETA 1147s
2026-05-11 02:20:26,661 [INFO]   [174,000/196,764] 88% | 21 entries/s | ETA 1099s
2026-05-11 02:21:17,164 [INFO]   [175,000/196,764] 89% | 21 entries/s | ETA 1051s
2026-05-11 02:22:08,107 [INFO]   [176,000/196,764] 89% | 21 entries/s | ETA 1003s
2026-05-11 02:22:58,323 [INFO]   [177,000/196,764] 90% | 21 entries/s | ETA 955s
2026-05-11 02:23:48,387 [INFO]   [178,000/196,764] 90% | 21 entries/s | ETA 907s
2026-05-11 02:24:39,086 [INFO]   [179,000/196,764] 91% | 21 entries/s | ETA 859s
2026-05-11 02:25:29,109 [INFO]   [180,000/196,764] 91% | 21 entries/s | ETA 811s
2026-05-11 02:26:12,663 [INFO]   [181,000/196,764] 92% | 21 entries/s | ETA 762s
2026-05-11 02:26:55,170 [INFO]   [182,000/196,764] 92% | 21 entries/s | ETA 713s
2026-05-11 02:27:39,331 [INFO]   [183,000/196,764] 93% | 21 entries/s | ETA 665s
2026-05-11 02:28:24,538 [INFO]   [184,000/196,764] 94% | 21 entries/s | ETA 616s
